STNAME,CTYNAME,YEAR,POPULATION
Arizona,Apache County,2000,69516
Arizona,Cochise County,2000,118028
Arizona,Coconino County,2000,116717
Arizona,Gila County,2000,51355
Arizona,Graham County,2000,33541
Arizona,Greenlee County,2000,8542
Arizona,La Paz County,2000,19643
Arizona,Maricopa County,2000,3097378
Arizona,Mohave County,2000,156194
Arizona,Navajo County,2000,97876
Arizona,Pima County,2000,848521
Arizona,Pinal County,2000,181283
Arizona,Santa Cruz County,2000,38542
Arizona,Yavapai County,2000,168886
Arizona,Yuma County,2000,160675
Arizona,Apache County,2001,67857
Arizona,Cochise County,2001,118573
Arizona,Coconino County,2001,117803
Arizona,Gila County,2001,51165
Arizona,Graham County,2001,33307
Arizona,Greenlee County,2001,8281
Arizona,La Paz County,2001,19537
Arizona,Maricopa County,2001,3200075
Arizona,Mohave County,2001,159840
Arizona,Navajo County,2001,98549
Arizona,Pima County,2001,865694
Arizona,Pinal County,2001,188370
Arizona,Santa Cruz County,2001,38914
Arizona,Yavapai County,2001,173285
Arizona,Yuma County,2001,163167
Arizona,Apache County,2002,67267
Arizona,Cochise County,2002,119750
Arizona,Coconino County,2002,120390
Arizona,Gila County,2002,51225
Arizona,Graham County,2002,33120
Arizona,Greenlee County,2002,7706
Arizona,La Paz County,2002,19346
Arizona,Maricopa County,2002,3299127
Arizona,Mohave County,2002,165177
Arizona,Navajo County,2002,101358
Arizona,Pima County,2002,886063
Arizona,Pinal County,2002,197830
Arizona,Santa Cruz County,2002,39288
Arizona,Yavapai County,2002,178390
Arizona,Yuma County,2002,166071
Arizona,Apache County,2003,67938
Arizona,Cochise County,2003,121175
Arizona,Coconino County,2003,121545
Arizona,Gila County,2003,50906
Arizona,Graham County,2003,32785
Arizona,Greenlee County,2003,7381
Arizona,La Paz County,2003,19516
Arizona,Maricopa County,2003,3391391
Arizona,Mohave County,2003,171019
Arizona,Navajo County,2003,103220
Arizona,Pima County,2003,903320
Arizona,Pinal County,2003,208772
Arizona,Santa Cruz County,2003,39541
Arizona,Yavapai County,2003,183400
Arizona,Yuma County,2003,169297
Arizona,Apache County,2004,67943
Arizona,Cochise County,2004,123235
Arizona,Coconino County,2004,123349
Arizona,Gila County,2004,50848
Arizona,Graham County,2004,32441
Arizona,Greenlee County,2004,7307
Arizona,La Paz County,2004,19696
Arizona,Maricopa County,2004,3502635
Arizona,Mohave County,2004,178313
Arizona,Navajo County,2004,105020
Arizona,Pima County,2004,924205
Arizona,Pinal County,2004,220724
Arizona,Santa Cruz County,2004,40177
Arizona,Yavapai County,2004,189532
Arizona,Yuma County,2004,174000
Arizona,Apache County,2005,68250
Arizona,Cochise County,2005,125637
Arizona,Coconino County,2005,124804
Arizona,Gila County,2005,50914
Arizona,Graham County,2005,32629
Arizona,Greenlee County,2005,7292
Arizona,La Paz County,2005,20007
Arizona,Maricopa County,2005,3647131
Arizona,Mohave County,2005,185940
Arizona,Navajo County,2005,106968
Arizona,Pima County,2005,948965
Arizona,Pinal County,2005,237457
Arizona,Santa Cruz County,2005,41113
Arizona,Yavapai County,2005,197533
Arizona,Yuma County,2005,180194
Arizona,Apache County,2006,69066
Arizona,Cochise County,2006,126751
Arizona,Coconino County,2006,126029
Arizona,Gila County,2006,51635
Arizona,Graham County,2006,33286
Arizona,Greenlee County,2006,7465
Arizona,La Paz County,2006,20118
Arizona,Maricopa County,2006,3776118
Arizona,Mohave County,2006,192724
Arizona,Navajo County,2006,109000
Arizona,Pima County,2006,975476
Arizona,Pinal County,2006,270453
Arizona,Santa Cruz County,2006,42040
Arizona,Yavapai County,2006,206672
Arizona,Yuma County,2006,185267
Arizona,Apache County,2007,69278
Arizona,Cochise County,2007,127736
Arizona,Coconino County,2007,127451
Arizona,Gila County,2007,52231
Arizona,Graham County,2007,34736
Arizona,Greenlee County,2007,7760
Arizona,La Paz County,2007,20133
Arizona,Maricopa County,2007,3872962
Arizona,Mohave County,2007,195852
Arizona,Navajo County,2007,110999
Arizona,Pima County,2007,996593
Arizona,Pinal County,2007,302633
Arizona,Santa Cruz County,2007,42692
Arizona,Yavapai County,2007,212004
Arizona,Yuma County,2007,189181
Arizona,Apache County,2008,69520
Arizona,Cochise County,2008,128425
Arizona,Coconino County,2008,128426
Arizona,Gila County,2008,52273
Arizona,Graham County,2008,36204
Arizona,Greenlee County,2008,8058
Arizona,La Paz County,2008,20005
Arizona,Maricopa County,2008,3958263
Arizona,Mohave County,2008,195601
Arizona,Navajo County,2008,112348
Arizona,Pima County,2008,1009832
Arizona,Pinal County,2008,329060
Arizona,Santa Cruz County,2008,43133
Arizona,Yavapai County,2008,214930
Arizona,Yuma County,2008,193299
Arizona,Apache County,2009,70591
Arizona,Cochise County,2009,129518
Arizona,Coconino County,2009,129849
Arizona,Gila County,2009,52199
Arizona,Graham County,2009,37045
Arizona,Greenlee County,2009,8041
Arizona,La Paz County,2009,20012
Arizona,Maricopa County,2009,4023132
Arizona,Mohave County,2009,194825
Arizona,Navajo County,2009,112975
Arizona,Pima County,2009,1020200
Arizona,Pinal County,2009,340962
Arizona,Santa Cruz County,2009,43771
Arizona,Yavapai County,2009,215686
Arizona,Yuma County,2009,196972
Arizona,Apache County,2010,71828
Arizona,Cochise County,2010,131823
Arizona,Coconino County,2010,134624
Arizona,Gila County,2010,53565
Arizona,Graham County,2010,37154
Arizona,Greenlee County,2010,8342
Arizona,La Paz County,2010,20499
Arizona,Maricopa County,2010,3825183
Arizona,Mohave County,2010,200336
Arizona,Navajo County,2010,107693
Arizona,Pima County,2010,981649
Arizona,Pinal County,2010,379106
Arizona,Santa Cruz County,2010,47402
Arizona,Yavapai County,2010,210990
Arizona,Yuma County,2010,197148
Arizona,Apache County,2011,72181
Arizona,Cochise County,2011,133124
Arizona,Coconino County,2011,134309
Arizona,Gila County,2011,53445
Arizona,Graham County,2011,37129
Arizona,Greenlee County,2011,8587
Arizona,La Paz County,2011,20606
Arizona,Maricopa County,2011,3875371
Arizona,Mohave County,2011,202888
Arizona,Navajo County,2011,107560
Arizona,Pima County,2011,988500
Arizona,Pinal County,2011,378114
Arizona,Santa Cruz County,2011,47640
Arizona,Yavapai County,2011,211081
Arizona,Yuma County,2011,202881
Arizona,Apache County,2012,72231
Arizona,Cochise County,2012,132085
Arizona,Coconino County,2012,136204
Arizona,Gila County,2012,53009
Arizona,Graham County,2012,37027
Arizona,Greenlee County,2012,8764
Arizona,La Paz County,2012,20524
